2.183.112.0	2.183.119.255	Iran Telecommunication Company Pjs
2.183.120.0	2.183.123.255	Iran Telecommunication Company Pjs
2.183.124.0	2.183.127.255	Iran Telecommunication Company Pjs
2.183.128.0	2.183.131.255	Iran Telecommunication Company Pjs
2.183.132.0	2.183.135.255	Iran Telecommunication Company Pjs
2.183.136.0	2.183.139.255	Iran Telecommunication Company Pjs
2.183.140.0	2.183.141.255	Iran Telecommunication Company Pjs
2.183.142.0	2.183.143.255	Iran Telecommunication Company Pjs
2.183.144.0	2.183.151.255	Iran Telecommunication Company Pjs
2.183.152.0	2.183.155.255	Iran Telecommunication Company Pjs
2.183.156.0	2.183.159.255	Iran Telecommunication Company Pjs
2.183.160.0	2.183.175.255	Iran Telecommunication Company Pjs
2.183.176.0	2.183.183.255	Iran Telecommunication Company Pjs
2.183.184.0	2.183.187.255	Iran Telecommunication Company Pjs
2.183.188.0	2.183.191.255	Iran Telecommunication Company Pjs
2.183.192.0	2.183.199.255	Iran Telecommunication Company Pjs
2.183.200.0	2.183.201.255	Iran Telecommunication Company Pjs
2.183.202.0	2.183.203.255	Iran Telecommunication Company Pjs
2.183.204.0	2.183.207.255	Iran Telecommunication Company Pjs
2.183.208.0	2.183.223.255	Iran Telecommunication Company Pjs
2.183.224.0	2.183.231.255	Iran Telecommunication Company Pjs
2.183.232.0	2.183.233.255	Iran Telecommunication Company Pjs
2.183.234.0	2.183.235.255	Iran Telecommunication Company Pjs
2.183.236.0	2.183.237.255	Iran Telecommunication Company Pjs
2.183.238.0	2.183.239.255	Iran Telecommunication Company Pjs
2.183.240.0	2.183.255.255	Iran Telecommunication Company Pjs
2.184.0.0	2.184.31.255	Iran Telecommunication Company Pjs
2.184.32.0	2.184.63.255	Iran Telecommunication Company Pjs
2.184.64.0	2.184.67.255	Iran Telecommunication Company Pjs
2.184.68.0	2.184.69.255	Iran Telecommunication Company Pjs
2.184.70.0	2.184.71.255	Iran Telecommunication Company Pjs
2.184.72.0	2.184.79.255	Iran Telecommunication Company Pjs
2.184.80.0	2.184.95.255	Iran Telecommunication Company Pjs
2.184.96.0	2.184.127.255	Iran Telecommunication Company Pjs
2.184.128.0	2.184.159.255	Iran Telecommunication Company Pjs
2.184.160.0	2.184.161.255	Iran Telecommunication Company Pjs
2.184.162.0	2.184.163.255	Iran Telecommunication Company Pjs
2.184.164.0	2.184.167.255	Iran Telecommunication Company Pjs
2.184.168.0	2.184.169.255	Iran Telecommunication Company Pjs
